Project,Unit ID,Contract Date,Bedrooms,Covered Area,Covered Veranda,Total Covered,Contract Amount,m²,Project ID,Latitude,Longitude,Market Segment
Olia Residence,203,12/01/2023,2,79,24,103,"255,000","2,476",651708,34.707179,33.053743,Lower-mid
Olia Residence,301,07/12/2023,2,82,22,104,"276,190","2,656",651708,34.707179,33.053743,Lower-mid
Olia Residence,104,06/12/2023,1,51,11,62,"150,000","2,419",651708,34.707179,33.053743,Lower-mid
Olia Residence,202,27/09/2023,3,106,37,143,"313,000","2,189",651708,34.707179,33.053743,Lower-mid
Olia Residence,302,14/07/2023,3,106,26,132,"340,000","2,576",651708,34.707179,33.053743,Lower-mid
Olia Residence,304,14/06/2023,1,51,5,56,"130,000","2,321",651708,34.707179,33.053743,Lower-mid
Olia Residence,204,14/06/2023,1,51,11,62,"130,000","2,097",651708,34.707179,33.053743,Lower-mid
Olia Residence,303,14/06/2023,2,79,14,93,"225,000","2,419",651708,34.707179,33.053743,Lower-mid
Olia Residence,103,29/07/2024,2,79,24,103,"320,000","3,107",651708,34.707179,33.053743,Lower-mid
Kleopatra Court,302,20/11/2023,2,81.1,20.4,101.5,"500,000","4,926",650131,34.707179,33.053743,Lower-mid
Kleopatra Court,301,22/02/2024,2,83.95,17.7,101.65,"350,000","3,443",650131,34.707179,33.053743,Lower-mid
Kleopatra Court,101,09/04/2024,2,81.1,20.4,101.5,"310,000","3,054",650131,34.707179,33.053743,Lower-mid
Kleopatra Court,102,01/11/2022,2,83.95,17.7,101.65,"280,000","2,755",650131,34.707179,33.053743,Lower-mid
Panayiotis Residence,202,25/07/2024,2,75,21,96,"220,000","2,292",13932488,34.706744,33.048956,Resale
Primo Court,302,11/01/2024,2,79,20,99,"265,000","2,677",13884563,34.706385,33.04854,Resale
Primo Court,303,22/01/2024,1,52,15,67,"168,000","2,507",13884563,34.706385,33.04854,Resale
FC171,,08/11/2024,,,,0,"220,000",,12104749,34.70781,33.052631,Budget
FC171,,09/04/2024,,,,0,"200,000",,12104749,34.70781,33.052631,Budget
FC171,,09/04/2024,,,,0,"220,000",,12104749,34.70781,33.052631,Budget
FC171,,30/01/2024,,,,0,"322,000",,12104749,34.70781,33.052631,Budget
FC171,,29/02/2024,,,,0,"280,000",,12104749,34.70781,33.052631,Budget
FC171,,24/01/2024,,,,0,"210,000",,12104749,34.70781,33.052631,Budget
Stavros Court 2,103,22/04/2024,2,82,20,102,"285,000","2,794",12483505,34.708226,33.054078,Resale
Stavros Court 2,302,18/06/2024,2,77,18,95,"256,000","2,695",12483505,34.708226,33.054078,Resale
Stavros Court 2,302,23/01/2024,2,77,18,95,"228,000","2,400",12483505,34.708226,33.054078,Resale
Stavros Court 2,103,23/01/2024,2,82,20,102,"215,000","2,108",12483505,34.708226,33.054078,Resale
Stavros Court 2,304,25/04/2024,1,59,15,74,"207,000","2,797",12483505,34.708226,33.054078,Resale
Stavros Court 2,304,23/01/2024,1,59,15,74,"157,000","2,122",12483505,34.708226,33.054078,Resale
Eliza Court,203,23/08/2024,2,76,9,85,"226,000","2,659",652052,34.704552,33.053088,Resale
Eliza Court,104,17/07/2024,2,75,8,83,"190,000","2,289",652052,34.704552,33.053088,Resale
